captured_utc,player,team,status,detail
2026-06-24T20:30:22Z,Marine Fauthoux,New York Liberty,Out,Fauthoux (coach's decision) has been ruled out for Tuesday's game against the Aces.
2026-06-24T20:30:22Z,Natasha Mack,Phoenix Mercury,Out,Mack (foot) is out for Wednesday's game against the Fever.
2026-06-24T20:30:22Z,Monique Akoa Makani,Phoenix Mercury,Out,Akoa Makani (hamstring) has been ruled out for Wednesday's game in Indiana.
2026-06-24T20:30:22Z,Jovana Nogic,Phoenix Mercury,Out,The Mercury temporarily suspended Nogic's (not with team) contract Saturday.
2026-06-24T20:30:22Z,Sami Whitcomb,Phoenix Mercury,Out,Surgery
2026-06-24T20:30:22Z,Karlie Samuelson,Portland Fire,Day-To-Day,Samuelson (foot) is questionable for Wednesday's game against the Sky.
2026-06-24T20:30:22Z,Carla Leite,Portland Fire,Day-To-Day,Sprain
2026-06-24T20:30:22Z,Jade Melbourne,Seattle Storm,Day-To-Day,day-to-day
2026-06-24T20:30:22Z,Ezi Magbegor,Seattle Storm,Out,Not Specified
2026-06-24T20:30:22Z,Jordan Horston,Seattle Storm,Out,Horston (foot) is out for Monday's meeting with the Wings.
2026-06-24T20:30:22Z,Brittney Sykes,Toronto Tempo,Out,"Sykes (foot) will be re-evaluated in the coming weeks, according to WNBA reporter Kareem Copeland."
2026-06-24T20:30:22Z,Kiki Rice,Toronto Tempo,Out,Sprain
2026-06-24T22:39:57Z,Liatu King,Minnesota Lynx,Out,King (coach's decision) is out for Wednesday's game against Washington.
2026-06-24T22:39:57Z,Eliska Hamzova,Minnesota Lynx,Out,Hamzova (coach's decision) has been ruled out for Wednesday's game against the Mystics.
2026-06-24T23:34:39Z,Maddy Westbeld,Chicago Sky,Out,Westbeld (coach's decision) has been ruled out for Wednesday's game against the Fire.
2026-06-24T23:34:39Z,Justine Pissott,Indiana Fever,Out,Pissott (coach's decision) is out for Wednesday's game against the Mercury.
2026-06-24T23:34:39Z,Bree Hall,Indiana Fever,Out,Hall (coach's decision) has been ruled out for Wednesday's game against the Mercury.
2026-06-24T23:34:39Z,Shay Ciezki,Phoenix Mercury,Out,Ciezki (coach's decision) has been ruled out for Wednesday's game against the Fever.
2026-06-24T23:34:39Z,Jordan Harrison,Portland Fire,Out,Harrison (coach's decision) has been ruled out for Wednesday's game against the Sky.
2026-06-24T23:34:39Z,Darianna Littlepage-Buggs,Washington Mystics,Out,Littlepage-Buggs (coach's decision) has been ruled out for Wednesday's game against the Lynx.
2026-06-25T01:50:04Z,Amy Okonkwo,Atlanta Dream,Out,out
2026-06-25T01:50:04Z,Alanna Smith,Dallas Wings,Out,Smith (concussion) is out for Thursday's game in Las Vegas.
2026-06-25T01:50:04Z,Alysha Clark,Dallas Wings,Day-To-Day,Clark (leg) is listed as probable for Thursday's game versus the Aces.
2026-06-25T01:50:04Z,Ashten Prechtel,Golden State Valkyries,Out,out
2026-06-25T01:50:04Z,Miela Sowah,Golden State Valkyries,Out,out
2026-06-25T01:50:04Z,Caitlin Clark,Indiana Fever,Day-To-Day,"Clark has been ruled out for the remainder of Wednesday's game against the Mercury due to a back injury, Chloe Peterson of The Indianapolis "
2026-06-25T01:50:04Z,Janiah Barker,Las Vegas Aces,Out,Barker (leg) has been ruled out for Thursday's game against the Wings.
2026-06-25T01:50:04Z,Dana Evans,Las Vegas Aces,Out,Evans (leg) is doubtful for Thursday's game versus the Wings.
2026-06-25T01:50:04Z,Chennedy Carter,Las Vegas Aces,Out,Carter (illness) has been ruled out for Thursday's game against the Wings.
2026-06-25T01:50:04Z,Taina Mair,Seattle Storm,Out,Mair (coach's decision) has been ruled out for Thursday's game against the Liberty.
2026-06-25T01:50:04Z,Jordan Horston,Seattle Storm,Out,Horston (foot) has been ruled out for Thursday's game against the Liberty.
2026-06-25T04:33:57Z,Allisha Gray,Atlanta Dream,Day-To-Day,"Gray won't return to Wednesday's game against the Valkyries due to an upper-body injury, Kendra Andrews of ESPN reports. She'll finish with "
2026-06-25T04:33:57Z,Amy Okonkwo,Atlanta Dream,Out,Okonkwo (coach's decision) has been ruled out for Wednesday's game against the Valkyries.
2026-06-25T04:33:57Z,Miela Sowah,Golden State Valkyries,Out,Sowah (coach's decision) has been ruled out for Wednesday's game against the Dream.
2026-06-25T04:33:57Z,Ashten Prechtel,Golden State Valkyries,Out,Prechtel (coach's decision) has been ruled out for Wednesday's game against the Dream.
2026-06-25T09:43:47Z,Maddy Westbeld,Chicago Sky,Day-To-Day,day-to-day
2026-06-25T09:43:47Z,Liatu King,Minnesota Lynx,Day-To-Day,day-to-day
2026-06-25T09:43:47Z,Shay Ciezki,Phoenix Mercury,Day-To-Day,day-to-day
2026-06-25T09:43:47Z,Natasha Mack,Phoenix Mercury,Day-To-Day,day-to-day
2026-06-25T09:43:47Z,Darianna Littlepage-Buggs,Washington Mystics,Day-To-Day,day-to-day
2026-06-25T18:37:32Z,Breanna Stewart,New York Liberty,Out,out
2026-06-25T20:22:20Z,Satou Sabally,New York Liberty,Out,out
2026-06-25T20:22:20Z,Breanna Stewart,New York Liberty,Out,Stewart (rest) is out for Thursday's game against the Storm.
2026-06-25T20:22:20Z,Alyssa Thomas,Phoenix Mercury,Suspension,The WNBA announced Thursday that Thomas is being suspended for one game due to a Flagrant Foul 2 penalty.
2026-06-25T22:10:13Z,Hailey Van Lith,Connecticut Sun,Out,Van Lith (ankle) is out for Friday's game against the Mystics.
2026-06-25T22:10:13Z,Saniya Rivers,Connecticut Sun,Out,Sprain
2026-06-25T22:10:13Z,Aneesah Morrow,Connecticut Sun,Out,Morrow (leg) is out for Friday's game against the Mystics.
2026-06-25T22:10:13Z,Karlie Samuelson,Portland Fire,Day-To-Day,Samuelson is questionable for Friday's game in Chicago due to a left middle finger injury.
2026-06-25T23:45:20Z,Dana Evans,Las Vegas Aces,Out,Evans (leg) has been ruled out for Thursday's game versus the Wings.
2026-06-25T23:45:20Z,Kate Martin,Los Angeles Sparks,Out,"Martin is out Thursday against the Tempo due to a coach's decision, independent WNBA writer Justin Russo reports."
2026-06-26T04:38:08Z,Aaliyah Nye,Atlanta Dream,Out,Nye (knee) is listed as out for Friday's game against Golden State.
2026-06-26T04:38:08Z,Costanza Verona,Dallas Wings,Out,Verona (coach's decision) is listed as out for Thursday's game versus Las Vegas.
2026-06-26T04:38:08Z,Kate Martin,Los Angeles Sparks,Day-To-Day,day-to-day
2026-06-26T04:38:08Z,Satou Sabally,New York Liberty,Day-To-Day,day-to-day
2026-06-26T04:38:08Z,Breanna Stewart,New York Liberty,Day-To-Day,day-to-day
2026-06-26T04:38:08Z,Marine Fauthoux,New York Liberty,Out,Fauthoux (coach's decision) is out for Thursday's game in Seattle.
2026-06-26T04:38:08Z,Taina Mair,Seattle Storm,Day-To-Day,day-to-day
2026-06-26T16:26:58Z,Caitlin Clark,Indiana Fever,Out,"Clark (back) is out for Saturday's game against the Sparks, Chloe Peterson of The Indianapolis Star reports."
2026-06-26T21:51:50Z,Monique Akoa Makani,Phoenix Mercury,Out,Akoa Makani (hamstring) has been ruled out for Saturday's game in Toronto.
2026-06-26T21:51:50Z,Natasha Mack,Phoenix Mercury,Out,Mack (foot) is out for Saturday's game against the Tempo.
2026-06-26T23:22:09Z,Aicha Coulibaly,Chicago Sky,Out,Coulibaly (coach's decision) is listed as out for Friday's game versus Portland.
2026-06-26T23:22:09Z,Maddy Westbeld,Chicago Sky,Out,Westbeld (coach's decision) has been ruled out for Friday's game against Portland.
2026-06-26T23:22:09Z,Sania Feagin,Portland Fire,Out,out
2026-06-26T23:22:09Z,Karlie Samuelson,Portland Fire,Out,Samuelson (finger) is listed as out for Friday's game versus the Sky.
2026-06-27T01:33:12Z,Amy Okonkwo,Atlanta Dream,Out,Okonkwo (coach's decision) is listed as out for Friday's game against Golden State.
2026-06-27T01:33:12Z,Sania Feagin,Portland Fire,Out,Feagin (coach's decision) has been ruled out for Friday's game against the Sky.
2026-06-27T01:33:12Z,Jordan Horston,Seattle Storm,Out,Horston (foot) is listed as out for Saturday's game against Atlanta.
2026-06-27T01:33:12Z,Taina Mair,Seattle Storm,Out,Mair (coach's decision) has been ruled out for Saturday's game against the Dream.
2026-06-27T04:16:06Z,Aicha Coulibaly,Chicago Sky,Day-To-Day,day-to-day
2026-06-27T04:16:06Z,Maddy Westbeld,Chicago Sky,Day-To-Day,day-to-day
2026-06-27T04:16:06Z,Aneesah Morrow,Connecticut Sun,Day-To-Day,day-to-day
2026-06-27T04:16:06Z,Saniya Rivers,Connecticut Sun,Day-To-Day,Sprain
2026-06-27T04:16:06Z,Ashten Prechtel,Golden State Valkyries,Out,Prechtel (coach's decision) is listed as out for Friday's game against Golden State.
2026-06-27T04:16:06Z,Miela Sowah,Golden State Valkyries,Out,Sowah (coach's decision) has been ruled out for Friday's game against the Dream.
2026-06-27T04:16:06Z,Karlie Samuelson,Portland Fire,Day-To-Day,day-to-day
2026-06-27T04:16:06Z,Sania Feagin,Portland Fire,Day-To-Day,day-to-day
2026-06-27T15:37:36Z,Dana Evans,Las Vegas Aces,Out,Evans (leg) is doubtful to play Sunday in Chicago.
2026-06-27T19:43:43Z,Marina Mabrey,Toronto Tempo,Day-To-Day,"Mabrey won't return to Saturday's game versus the Mercury due to a neck injury, Zulfi Sheikh of Sportsnet reports."
2026-06-27T19:56:11Z,Marina Mabrey,Toronto Tempo,Out,out
2026-06-27T21:18:39Z,Aaliyah Nye,Atlanta Dream,Out,Nye (knee) will remain on the inactive list for Saturday's game in Seattle.
2026-06-27T21:18:39Z,Naz Hillmon,Atlanta Dream,Out,Hillmon (rest) has been ruled out for Saturday's game in Seattle.
2026-06-27T21:18:39Z,Natasha Mack,Phoenix Mercury,Day-To-Day,day-to-day
2026-06-27T21:18:39Z,Noemie Brochant,Phoenix Mercury,Day-To-Day,"Brochant exited Saturday's 89-80 win over the Tempo with an apparant left ankle injury and did not return, WNBA reporter Stephen PridGeon-Ga"
2026-06-27T21:18:39Z,Karlie Samuelson,Portland Fire,Day-To-Day,Samuelson (finger) is questionable to face the Mystics on Sunday.
2026-06-27T21:18:39Z,Marina Mabrey,Toronto Tempo,Day-To-Day,day-to-day
2026-06-27T22:16:00Z,Alanna Smith,Dallas Wings,Out,Smith (concussion) is out for Sunday's game against the Lynx.
2026-06-27T22:16:00Z,Odyssey Sims,Dallas Wings,Out,Sims (ankle) won't play Sunday versus the Lynx.
2026-06-27T22:42:23Z,Dana Evans,Las Vegas Aces,Out,Evans (leg) has been ruled out for Sunday's game against the Sky.
2026-06-27T22:42:23Z,Janiah Barker,Las Vegas Aces,Out,Barker (leg) has been ruled out for Sunday's game against the Sky.
2026-06-27T22:42:23Z,Chennedy Carter,Las Vegas Aces,Out,Carter (illness) has been downgraded to questionable for Sunday's game against Chicago.
2026-06-27T22:42:23Z,Marina Mabrey,Toronto Tempo,Out,out
2026-06-27T23:42:11Z,Kate Martin,Los Angeles Sparks,Out,Martin (coach's decision) has been ruled out for Saturday's game in Indiana.
2026-06-28T01:52:54Z,Laeticia Amihere,Golden State Valkyries,Day-To-Day,Amihere (spasms) is questionable for Sunday's game against New York.
2026-06-28T01:52:54Z,Justine Pissott,Indiana Fever,Out,Pissott (coach's decision) has been ruled out for Saturday's game against the Sparks.
2026-06-28T01:52:54Z,Satou Sabally,New York Liberty,Out,out
2026-06-28T01:52:54Z,Jovana Nogic,Phoenix Mercury,Out,"Nogic (not injury related) intends to play professionally in Russia and won't return to Phoenix this season, Aya Abdeen of TheIXSports.com r"
2026-06-28T04:49:58Z,Naz Hillmon,Atlanta Dream,Day-To-Day,day-to-day
2026-06-28T18:17:10Z,Costanza Verona,Dallas Wings,Out,Verona (coach's decision) won't play Sunday against the Lynx.
2026-06-28T18:17:10Z,Chennedy Carter,Las Vegas Aces,Out,Carter (illness) has been upgraded to probable ahead of Sunday's matchup with the Sky.
2026-06-28T18:17:10Z,Eliska Hamzova,Minnesota Lynx,Out,Hamzova (coach's decision) is out for Sunday's game in Dallas.
2026-06-28T19:45:20Z,Maddy Westbeld,Chicago Sky,Out,Westbeld (coach's decision) has been ruled out for Sunday's game against the Aces.
2026-06-28T19:45:20Z,Sania Feagin,Portland Fire,Out,Feagin (coach's decision) won't play Sunday versus the Mystics.
2026-06-28T19:45:20Z,Karlie Samuelson,Portland Fire,Out,Samuelson (finger) has been ruled out for Sunday's game against the Mystics.
2026-06-28T21:18:11Z,Georgia Amoore,Washington Mystics,Day-To-Day,Soreness
2026-06-28T22:14:29Z,Aicha Coulibaly,Chicago Sky,Day-To-Day,"Coulibaly exited to the locker room in the third quarter of Sunday's game against the Aces due to an apparent facial injury, Kareem Copeland"
2026-06-28T23:47:51Z,Miela Sowah,Golden State Valkyries,Out,Sowah (coach's decision) has been ruled out for Sunday's game against New York.
2026-06-28T23:47:51Z,Ashten Prechtel,Golden State Valkyries,Out,Prechtel (coach's decision) has been ruled out for Sunday's game against the Liberty.
2026-06-28T23:47:51Z,Marine Fauthoux,New York Liberty,Out,Fauthoux (coach's decision) is listed as out for Sunday's game versus Golden State.
2026-06-28T23:47:51Z,Anneli Maley,New York Liberty,Out,Maley (coach's decision) is listed as out for Sunday's game against Golden State.
2026-06-29T20:16:05Z,Natasha Mack,Phoenix Mercury,Out,out
2026-06-29T21:11:57Z,A'ja Wilson,Las Vegas Aces,Day-To-Day,day-to-day
2026-06-29T22:20:21Z,Janiah Barker,Las Vegas Aces,Out,Barker (leg) has been ruled out for Tuesday's game against the Liberty.
2026-06-29T22:20:21Z,Dana Evans,Las Vegas Aces,Out,Evans (leg) has been ruled out for Tuesday's Commissioner's Cup Championship against the Liberty.
2026-06-29T22:20:21Z,A'ja Wilson,Las Vegas Aces,Day-To-Day,Wilson (leg) is listed as questionable for Tuesday's Commissioner's Cup Championship against the Liberty.
2026-06-30T14:43:13Z,A'ja Wilson,Las Vegas Aces,Out,Wilson (leg) is out for Tuesday's game against the Liberty.
2026-06-30T16:30:17Z,Sophie Cunningham,Indiana Fever,Day-To-Day,"Cunningham (illness) missed Tuesday's practice, Tony East of The Next reports."
2026-06-30T16:30:17Z,Caitlin Clark,Indiana Fever,Out,"Clark (back) did not practice Tuesday, Tony East of The Next reports."
2026-06-30T23:36:51Z,Chelsea Gray,Las Vegas Aces,Day-To-Day,Gray exited to the locker room in the first quarter of Tuesday's Commissioner's Cup Championship against the Liberty due to an apparent nasa
2026-07-01T16:38:42Z,Sophie Cunningham,Indiana Fever,Day-To-Day,"Cunningham (illness) did not practice Tuesday, Tony East of The Next reports."
2026-07-01T22:07:21Z,Aaliyah Nye,Atlanta Dream,Out,Nye (knee) is listed as out for Thursday's game against Washington.
2026-07-01T22:07:21Z,Odyssey Sims,Dallas Wings,Out,Sims (ankle) is probable for Thursday's game against the Sun.
2026-07-01T22:07:21Z,Alanna Smith,Dallas Wings,Out,Smith (concussion) is questionable for Thursday's game against the Sun.
2026-07-01T22:07:21Z,Sonia Citron,Washington Mystics,Day-To-Day,Citron (knee) is questionable for Thursday's game against Atlanta.
2026-07-02T01:50:03Z,Noemie Brochant,Phoenix Mercury,Out,Brochant (ankle) is listed as out for Thursday's game against Seattle.
2026-07-02T01:50:03Z,Taina Mair,Seattle Storm,Out,Mair (coach's decision) is listed as out for Thursday's game against the Mercury.
2026-07-02T18:19:29Z,Marine Johannes,New York Liberty,Day-To-Day,"Johannes missed Thursday's practice with an illness but is expected to play Friday against the Lynx, Madeline Kenney of the New York Post re"
2026-07-02T22:18:48Z,A'ja Wilson,Las Vegas Aces,Day-To-Day,day-to-day
2026-07-03T00:18:14Z,Amy Okonkwo,Atlanta Dream,Out,Okonkwo (coach's decision) is listed as out for Thursday's game against Washington.
2026-07-03T00:18:14Z,Jaylyn Sherrod,Atlanta Dream,Out,Sherrod (coach's decision) is out for Thursday's game against the Mystics.
2026-07-03T00:18:14Z,Ashlon Jackson,Connecticut Sun,Out,Jackson (coach's decision) is listed as out for Thursday's game versus Dallas.
2026-07-03T00:18:14Z,Hailey Van Lith,Connecticut Sun,Out,Van Lith (coach's decision) is out for Thursday's game against the Wings.
2026-07-03T00:18:14Z,Haley Jones,Dallas Wings,Out,Jones (coach's decision) is listed as out for Thursday's game against Las Vegas.
2026-07-03T00:18:14Z,Costanza Verona,Dallas Wings,Out,Verona (coach's decision) is out for Thursday's game against the Sun.
2026-07-03T00:18:14Z,Dana Evans,Las Vegas Aces,Out,Evans (leg) is out for Friday's game against Chicago.
2026-07-03T00:18:14Z,Janiah Barker,Las Vegas Aces,Out,Barker (leg) is listed as out for Friday's game versus Chicago.
2026-07-03T00:18:14Z,A'ja Wilson,Las Vegas Aces,Day-To-Day,Wilson is questionable for Friday's game against the Sky.
2026-07-03T00:18:14Z,Sonia Citron,Washington Mystics,Out,Citron (knee) won't play Thursday against the Dream.
2026-07-03T04:07:39Z,Amy Okonkwo,Atlanta Dream,Day-To-Day,day-to-day
2026-07-03T04:07:39Z,Jaylyn Sherrod,Atlanta Dream,Day-To-Day,day-to-day
2026-07-03T04:07:39Z,Ashlon Jackson,Connecticut Sun,Day-To-Day,day-to-day
2026-07-03T04:07:39Z,Haley Jones,Dallas Wings,Day-To-Day,day-to-day
2026-07-03T04:07:39Z,Sonia Citron,Washington Mystics,Day-To-Day,day-to-day
2026-07-03T16:00:19Z,Caitlin Clark,Indiana Fever,Out,"Clark (back) confirmed she won't play Sunday against the Aces, Tony East of The Next reports."
2026-07-03T16:45:03Z,Jaylyn Sherrod,Atlanta Dream,Out,out
2026-07-03T16:45:03Z,Amy Okonkwo,Atlanta Dream,Out,out
2026-07-03T16:45:03Z,Ashlon Jackson,Connecticut Sun,Out,out
2026-07-03T16:45:03Z,Haley Jones,Dallas Wings,Out,out
2026-07-03T16:45:03Z,Sophie Cunningham,Indiana Fever,Out,out
2026-07-03T16:45:03Z,Shay Ciezki,Phoenix Mercury,Out,out
2026-07-03T16:45:03Z,Sonia Citron,Washington Mystics,Out,out
2026-07-03T21:22:02Z,Aaliyah Nye,Atlanta Dream,Out,Nye (knee) is out for Saturday's game against the Valkyries.
2026-07-03T21:22:02Z,A'ja Wilson,Las Vegas Aces,Out,Wilson (leg) is out for Friday's game against the Sky.
2026-07-03T23:42:31Z,Marine Fauthoux,New York Liberty,Out,Fauthoux (coach's decision) is listed as out for Friday's game versus the Lynx.
2026-07-03T23:42:31Z,Anneli Maley,New York Liberty,Out,Maley (coach's decision) is out for Friday's game versus the Lynx.
2026-07-04T01:17:30Z,Karlie Samuelson,Portland Fire,Out,Samuelson (finger) is listed as out for Saturday's game against Seattle.
2026-07-04T01:17:30Z,Taina Mair,Seattle Storm,Out,Mair (coach's decision) is listed as out for Saturday's game against Portland.
2026-07-04T04:00:57Z,Maddy Westbeld,Chicago Sky,Out,Westbeld (coach's decision) is listed as out for Friday's game against the Aces.
2026-07-04T04:00:57Z,Chloe Bibby,Chicago Sky,Out,Bibby (coach's decision) is out for Friday's game against the Aces.
2026-07-04T16:40:20Z,Jaylyn Sherrod,Atlanta Dream,Out,Sherrod (coach's decision) has been ruled out for Saturday's game against the Valkyries.
2026-07-04T16:40:20Z,Amy Okonkwo,Atlanta Dream,Out,Okonkwo (coach's decision) has been ruled out for Saturday's game against Golden State.
2026-07-04T16:40:20Z,Ashten Prechtel,Golden State Valkyries,Out,out
2026-07-04T17:44:00Z,Miela Sowah,Golden State Valkyries,Out,Sowah (coach's decision) won't play Saturday in Atlanta.
2026-07-04T17:44:00Z,Ashten Prechtel,Golden State Valkyries,Out,Prechtel (coach's decision) has been ruled out for Saturday's game against the Dream.
2026-07-04T21:37:48Z,Temi Fagbenle,Toronto Tempo,Day-To-Day,Fagbenle (eye) is listed as questionable for Sunday's game versus Dallas.
2026-07-05T01:24:45Z,Dana Evans,Las Vegas Aces,Out,Evans (leg) is out for Sunday's game against the Fever.
2026-07-05T01:24:45Z,Janiah Barker,Las Vegas Aces,Out,Barker (leg) is listed as out for Sunday's game against Indiana.
2026-07-05T01:24:45Z,A'ja Wilson,Las Vegas Aces,Out,Wilson (leg) is listed as out for Sunday's game against the Fever.
2026-07-05T15:36:11Z,Temi Fagbenle,Toronto Tempo,Out,Fagbenle (eye) is listed as out for Sunday's game versus the Wings.
2026-07-05T19:40:49Z,Costanza Verona,Dallas Wings,Out,Verona (coach's decision) has been ruled out for Sunday's game against the Tempo.
2026-07-05T19:40:49Z,Haley Jones,Dallas Wings,Out,Jones (coach's decision) is out for Sunday's game in Toronto.
2026-07-05T19:40:49Z,Julie Allemand,Toronto Tempo,Out,Allemand (ankle) is listed as out for Sunday's game against Dallas.
2026-07-05T21:40:33Z,Sonia Citron,Washington Mystics,Day-To-Day,Soreness
2026-07-05T22:12:50Z,Aneesah Morrow,Connecticut Sun,Out,out
2026-07-05T22:12:50Z,Olivia Miles,Minnesota Lynx,Day-To-Day,Miles is questionable for Monday's game against the Sun due to a right calf injury.
2026-07-05T22:39:37Z,Aneesah Morrow,Connecticut Sun,Out,Morrow is out for Monday's game against the Lynx due to personal reasons.
2026-07-06T01:25:05Z,Taina Mair,Seattle Storm,Out,Mair (coach's decision) is out for Monday's game against the Sparks.
2026-07-06T17:13:57Z,Olivia Miles,Minnesota Lynx,Out,Miles (calf) is out for Monday's game against the Sun.
2026-07-06T19:22:00Z,Leonie Fiebich,New York Liberty,Day-To-Day,"Fiebich is questionable for Tuesday's game against the Wings with foot soreness, Jackie Powell of The IX Sports reports."
2026-07-06T22:47:14Z,Darianna Littlepage-Buggs,Washington Mystics,Out,out
2026-07-06T22:47:14Z,Sonia Citron,Washington Mystics,Out,Soreness
2026-07-07T00:19:01Z,Hailey Van Lith,Connecticut Sun,Out,Van Lith (coach's decision) is out for Monday's game against the Lynx.
2026-07-07T00:19:01Z,Ashlon Jackson,Connecticut Sun,Out,Jackson (coach's decision) has been ruled out for Monday's game in Minnesota.
2026-07-07T00:19:01Z,Noemie Brochant,Phoenix Mercury,Out,Brochant (ankle) is probable for Tuesday's game against the Sky.
2026-07-07T00:19:01Z,Darianna Littlepage-Buggs,Washington Mystics,Out,Littlepage-Buggs (coach's decision) has been ruled out for Monday's game against Golden State.
2026-07-07T04:16:25Z,Alissa Pili,Los Angeles Sparks,Out,Pili (coach's decision) is out for Monday's game against the Storm.
2026-07-07T15:14:24Z,Leonie Fiebich,New York Liberty,Out,Fiebich (foot) has been ruled out for Tuesday's game against Dallas.
2026-07-07T18:36:02Z,Temi Fagbenle,Toronto Tempo,Out,"Fagbenle (eye) is out for Wednesday's game against the Valkyries, Chelsea Leite of TSN reports."
2026-07-07T20:13:51Z,Caitlin Clark,Indiana Fever,Out,"Clark (back) said Tuesday she's optimistic about playing against the Sparks on Wednesday, Chloe Peterson of The Indianapolis Star reports."
2026-07-07T22:00:00Z,Aneesah Morrow,Connecticut Sun,Out,Morrow is out for Wednesday's game against the Lynx due to personal reasons.
2026-07-07T22:00:00Z,Olivia Miles,Minnesota Lynx,Day-To-Day,Miles (calf) is doubtful for Wednesday's game against the Sun.
2026-07-08T01:09:28Z,Chloe Bibby,Chicago Sky,Out,"Bibby (coach's decision) has been ruled out for Tuesday's game against Phoenix, WNBA reporter Kareem Copeland reports."
2026-07-08T01:09:28Z,Maddy Westbeld,Chicago Sky,Out,"Westbeld (coach's decision) has been ruled out for Tuesday's game against the Mercury, Kareem Copeland of ESPN reports."
2026-07-08T01:09:28Z,Skylar Diggins,Chicago Sky,Out,Diggins (knee) has been ruled out for Tuesday's game against Phoenix.
2026-07-08T01:09:28Z,Aliyah Boston,Indiana Fever,Day-To-Day,Boston (leg) is questionable for Wednesday's game against Los Angeles.
2026-07-08T01:09:28Z,Caitlin Clark,Indiana Fever,Out,Clark (back) is listed as probable for Wednesday's game against the Sparks.
2026-07-08T03:43:36Z,Rebecca Allen,New York Liberty,Out,"Allen sustained an apparent nasal injury in the fourth quarter of Tuesday's 88-77 loss to the Wings and did not return, finishing with one b"
2026-07-08T03:43:36Z,Alyssa Thomas,Phoenix Mercury,Day-To-Day,"Thomas exited to the locker room in the third quarter of Tuesday's game against the Sky due to an apparent lower left leg injury, Hayden Cil"
2026-07-08T03:43:36Z,Shay Ciezki,Phoenix Mercury,Out,Ciezki (coach's decision) has been ruled out for Tuesday's game against the Sky.
2026-07-08T19:53:23Z,Aliyah Boston,Indiana Fever,Out,"Boston (lower leg) is out for Wednesday's game against the Sparks but will be available for Thursday's game against Phoenix, per Chloe Peter"
2026-07-08T21:22:04Z,Aaliyah Nye,Atlanta Dream,Out,Nye (knee) is questionable for Thursday's game against the Storm.
2026-07-08T21:22:04Z,Olivia Miles,Minnesota Lynx,Out,Miles (calf) is out for Wednesday's game against the Sun.
2026-07-08T21:22:04Z,Taina Mair,Seattle Storm,Out,Mair (coach's decision) is out for Thursday's game against the Dream.
2026-07-08T22:41:23Z,Ashten Prechtel,Golden State Valkyries,Out,Prechtel (coach's decision) has been ruled out for Wednesday's game against the Tempo.
